Date,Temperature_Max (°C),Temperature_Min (°C),Humidity (%),Rainfall (mm),PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),Seismic Activity (Richter),Wind Speed (km/h),Visitors,Biological Growth (%),Soil Erosion (mm/year)
13-06-2003,41.4,19.1,58.4,95.2,71.2,46.9,76.8,2.6,8.7,564,24.4,1.09
14-06-2003,39.6,17.4,64.4,134.6,24.5,123,79.4,5.3,25.4,290,36.2,1.75
15-06-2003,40.9,15.6,76.6,192.4,72.7,144.7,66.4,5.1,25.7,715,41.5,0.79
16-06-2003,43.2,26.9,59.1,155.5,106,112.6,32.8,2.7,25.3,592,33.6,0.92
17-06-2003,43.1,28.6,50.6,212.6,38.1,49,62.3,5.9,12.8,950,20.6,1.04
18-06-2003,31.8,20.5,77.8,158.7,124.8,136.6,64.6,2.4,19.6,626,11.4,2.98
19-06-2003,27.8,16.6,71.1,126.4,107.9,164.8,49.2,4.2,28.9,700,41.4,2.87
20-06-2003,37.2,27,60.2,70.2,144.3,153.4,53.1,6,19.1,925,28.2,2.47
21-06-2003,29.6,24.5,56.8,178,40.1,121,76.3,3.6,6.1,191,23.4,1.61
22-06-2003,32.5,17.3,84,125.1,20.5,110.8,59.7,2.6,10.9,947,39.8,1.87
23-06-2003,44.2,15.6,77.1,211.9,117.3,31.4,56.2,5.8,11.2,156,21.2,1.23
24-06-2003,41.8,15,42.8,108.7,88.4,102.9,49,3.4,8.1,146,42.4,2.83
25-06-2003,31.8,28.7,66.2,41.1,130.3,101.4,42.7,5.5,29.9,957,43.2,2.13
26-06-2003,36.1,16.7,54.8,67.4,56.7,132.7,79.2,4.6,13.2,867,11.6,0.62
27-06-2003,43.3,27.2,62.8,5.5,57.5,86.2,63.7,4.3,21.2,836,49.6,2.73
28-06-2003,26.1,30,85.2,260.6,113,125.8,43.9,5.2,24.7,810,25.5,2.93
29-06-2003,31.9,26.6,58.5,208.6,126.6,70.2,53.4,5.4,11.6,331,6.8,1.77
30-06-2003,33.3,16.5,69.2,89.1,77.3,114.9,49.8,2.1,11.1,131,45.3,2.38
01-07-2003,37.6,17.5,60.3,137.1,81.5,122.2,47,5.7,28.9,917,26.5,0.55
02-07-2003,29.9,15.5,76.1,108.7,21.3,37.1,10.1,3.5,8.1,240,33.4,2.9
03-07-2003,28.2,18.2,78.1,163,50.1,51.7,40,3.1,10.4,722,26.1,0.53
04-07-2003,42.8,24.5,77.8,70.9,120.8,87.5,52,3,24.4,580,30,2.09
05-07-2003,25.4,19.2,72.2,235.2,88.7,44.8,55.8,3.6,24.7,278,14.7,0.69
06-07-2003,40.9,21.9,84.5,266,129.1,56.1,10.3,4.7,21.7,315,37.1,0.8
07-07-2003,34.4,25.1,43.3,51,57.7,139,69.7,4.8,21.5,342,48.3,1.78
08-07-2003,40.8,15.8,82.4,108,22.4,162,54.1,4.2,9.4,758,29.2,2.91
09-07-2003,25.1,20.7,85.7,46.6,95.4,132.1,32.2,2.3,7.1,117,40.8,1.28
10-07-2003,35.4,22.9,78.8,180.3,124.3,175.9,71.7,2.5,14.5,163,36.5,1.81
11-07-2003,28.1,27.6,76.2,163.5,65.2,54.7,78.9,3,25.6,284,21.9,1.83
12-07-2003,44.6,21.6,47.2,13.7,45.4,27.7,65.6,3.2,14.3,215,33.2,0.96
13-07-2003,28.4,28.5,86.1,293,140.8,182.6,68.2,2.9,23.4,389,41.2,2.72
14-07-2003,38.6,22.6,44.9,219.8,128.6,198.2,49.8,5.7,21,890,46.2,0.56
15-07-2003,26.8,16.5,41.3,95.9,57.5,144.2,68.6,4.6,11.6,719,23.3,0.57
16-07-2003,30.8,23,82.5,271.9,109.5,146.2,55.1,3.9,27.1,758,24,2.06
17-07-2003,34.7,19.3,87.6,107.7,54.3,165.8,58.8,2.8,28.5,193,42.7,1.36
18-07-2003,30.5,26.7,56.7,104.2,10.5,35.6,30.5,5.2,22.3,379,16.4,1.58
19-07-2003,35.4,20.3,46.4,83.3,51.5,58.5,42.3,5.4,18.1,848,18.5,0.57
20-07-2003,40.1,23.8,73.1,205.1,50.6,77.6,74.8,5.7,29.2,119,32.1,2.68
21-07-2003,42.4,15.6,58,185.9,22.4,143.6,67.8,3.2,25,233,22.4,2.38
22-07-2003,36.9,17.4,74.9,0.7,149,159.4,54.4,4.7,22.6,362,27.3,0.55
23-07-2003,31.5,23.7,42.3,282.3,111.6,148.3,11.1,3.6,10,585,32,2.61
24-07-2003,40.1,25.6,71.5,123.7,65.2,193.1,49.2,4,11,608,31.7,1.12
25-07-2003,30.6,26.8,71,151.6,127.3,73.7,60.4,3,7.3,535,34.4,2.76
26-07-2003,36.6,28.5,80.7,140,81.9,49.6,58.5,6,9.1,234,6.4,0.81
27-07-2003,39.5,23.1,75.5,90.2,58.9,189.3,10.8,2.8,10.2,865,25.5,1.47
28-07-2003,39,16.5,40.4,214.9,89.1,33.2,13.9,2.9,28.4,563,20.5,2.39
29-07-2003,34.8,25.4,77.3,142.2,80.6,110.9,37.3,3.1,19.1,623,10.3,2.79
30-07-2003,35,24,59,241,54.7,193.2,78.1,5.9,9.5,858,22.2,1.82
31-07-2003,43,21.3,40.7,134.6,109.5,120,72.1,2.4,22.7,798,22.4,1.64
01-08-2003,34.5,18.6,60.8,49.2,102.6,88.5,47.1,3.8,8.4,887,28.3,2.9
02-08-2003,33.1,24.3,59.9,243.5,133.2,103.3,77.5,4.3,11.9,731,22.7,0.55
03-08-2003,31.8,17.1,42.3,73.3,38.3,197.1,18.8,3.9,24.1,705,41.4,1.96
04-08-2003,43.2,18.5,58.4,107.4,27.7,65.5,74.9,3.3,17.1,966,38,1.34
05-08-2003,44.7,17,75.8,121.3,20.7,184,71.1,4.7,10.7,697,20.1,0.89
06-08-2003,32.3,27.3,71.2,277.1,133.4,184.9,58,4.9,26.7,157,17.7,0.61
07-08-2003,39.9,27.6,71.3,46.6,54.5,40.2,38.1,4.1,16.8,407,17.1,2.55
08-08-2003,39,16.8,80.8,106.6,78,118.5,25.2,4.5,19,167,39.1,0.74
09-08-2003,38.4,15.8,46.8,172.5,118.5,37.7,14.4,4,18.5,282,46.6,2.31
10-08-2003,40.4,18.9,66.1,199.3,80.2,93.3,21,4.5,8.5,315,23.8,1.56
11-08-2003,41.7,25.7,84.5,292.3,59.3,149.2,13.4,3.1,22.3,560,28.1,2.87
12-08-2003,36.5,28.1,70.6,271.2,116.1,47.3,76.5,3.6,28.1,899,43.1,2.7
13-08-2003,28.1,17.2,84.6,161.6,58.9,30.3,36.4,2.9,14.5,204,12.3,1.73
14-08-2003,43.9,17.2,40.7,127.7,35,157.1,38.5,4.7,21.9,182,31,2.66
15-08-2003,36.6,16.8,70.7,83.8,111.9,138,60.7,5.9,8,370,8.7,2.75
16-08-2003,31.9,17.5,78.6,272.7,110,114.1,20.8,3.6,16.4,146,35,2.06
17-08-2003,28.6,24.3,79.8,259.3,53,182.6,43.6,3.8,26.9,189,14,0.64
18-08-2003,42.9,28.5,43.3,53.6,139.8,35.5,44.6,2.3,8.9,545,31.1,2.76
19-08-2003,25.8,20,65.1,131.6,76.7,146.1,21.8,4.8,7.2,846,44.3,2.12
20-08-2003,33.2,19.7,74.1,211.3,128.6,133.5,22.7,3.5,13.3,103,20.6,2.19
21-08-2003,28,29.5,42.5,8.3,72.9,82.2,63.7,4.5,20.6,687,37.6,1.96
22-08-2003,25.8,19.9,52.8,117.1,46.6,184.5,61.6,2.9,21.5,358,37,1.69
23-08-2003,32,26.5,84.8,85.8,37.1,125.3,26.9,4.5,24.8,886,14.4,1.93
24-08-2003,37.9,21.7,76.3,14.8,49,151.7,44,5.3,24.8,425,5.4,1.58
25-08-2003,25.7,25.5,59.3,167.4,101.1,37.5,40.5,5,8.4,299,27.8,2.07
26-08-2003,25.1,21.8,80.4,206,62.6,50.1,68,4.6,12.1,971,25.7,1.86
27-08-2003,26.2,28,75,252.6,123.3,118.4,37.3,2.6,16.9,756,35.7,0.88
28-08-2003,40.7,18.4,70.8,155.9,37.7,140,18.6,3.6,14.6,671,11.8,1.28
29-08-2003,45,25.3,78.7,250.5,87,58.6,66.3,2.6,25.9,600,44.2,1.13
30-08-2003,30.4,21.3,53,246.6,139.8,154.4,45.5,2.5,11.9,347,24.8,2.6
31-08-2003,37.1,28.1,68,2.2,56.4,96,18.1,4.2,27.3,715,35.5,0.58
01-09-2003,25.4,26,57.4,13.3,111.6,149.4,72.6,4.6,17.1,173,17.7,2.19
02-09-2003,29.2,28.2,78.5,205,132.2,86.4,54.6,2.2,15.5,177,36,1.11
03-09-2003,31.4,15.6,72.2,169.8,131.1,32.8,73.2,4.2,22.9,378,30.1,2.72
04-09-2003,34.8,19,73.6,257.3,26.4,115.4,64.4,2.9,13.6,815,37.6,2.64
05-09-2003,34.5,28.6,78.9,208.5,12.1,110.3,22.1,4.3,15.3,171,40.7,2.07
06-09-2003,42.1,27.9,41.2,151.4,93.7,38.7,64.9,2.1,25.7,770,35.9,1.71
07-09-2003,32.1,23.8,42.2,278.2,145.3,98.4,71.8,3.7,27.7,265,47.1,2.25
08-09-2003,28.7,27.9,87.2,260.2,95,79.3,45.9,4.1,15.4,190,36.5,1.69
09-09-2003,27.3,24.7,56.2,149.5,136.2,62.3,33.5,2.9,22.1,208,17.3,0.79
10-09-2003,30.5,18.2,76.2,121.1,31.3,34,70.2,5.2,29.5,541,45,1.55
11-09-2003,42,24.4,66.4,298.8,112.1,73.4,21.9,5.6,8.7,938,37,1.6
12-09-2003,34.4,26.7,75.1,36.9,121,181.2,56.8,5.4,19.8,124,39.8,2.92
13-09-2003,43,18,66.9,63.1,70.9,187,69.8,2.8,18.9,570,47.3,1.07
14-09-2003,37,17.2,56,32.8,144.3,98.4,69.2,3.2,11.1,599,23.4,2.99
15-09-2003,35.2,16.3,83,87.4,38,156.6,69.4,5,13.7,649,20.5,1.3
16-09-2003,40,16.2,84.4,6.9,109.2,168.3,44.1,2.6,6.3,367,42.5,2.57
17-09-2003,31,15,88.8,174,43,146.8,64.8,5.2,23.3,289,15.5,1.9
18-09-2003,34.9,29.5,79.1,232.8,72.4,110.5,68,5.9,9.2,561,48.7,1.58
19-09-2003,44.6,22,43.4,287.2,79,115.1,20.1,4.8,19,134,35.9,2.97
20-09-2003,44,29.7,78.3,257.7,65.4,41.1,64.5,2,5.8,987,37.5,1.94
21-09-2003,42,23.7,61.8,240.1,77.2,41.1,26.4,2.3,11.1,257,45.8,2.39
22-09-2003,29,26.4,40.7,47.6,71,74.2,69.1,4.7,26.4,599,13.6,2.86
23-09-2003,30.5,17.5,88.7,192.5,125.4,44.2,29.1,3.9,22.3,525,48.3,1.67
24-09-2003,33.1,20.6,48,51.9,124,177.2,53.9,2.6,26.7,536,8.3,1.36
25-09-2003,26,21.2,43.6,287,58.7,83.5,77.8,2.1,10.2,325,25.5,1.73
26-09-2003,40.8,24.5,53.1,154.4,25.9,78.1,16.3,5.9,16,256,37,1.93
27-09-2003,37.6,29.1,79.9,135.1,32.3,143.8,69,3.9,18.9,910,16.4,1.22
28-09-2003,38.2,17.9,67.5,168.8,39,155.9,45.6,2.7,19,492,20.6,0.75
29-09-2003,29.5,21.9,66.5,32.3,111.5,140.1,34.3,4.5,6.8,872,7.2,2.54
30-09-2003,30.3,17.6,58.7,171.1,61.2,121.5,26.4,2.9,26.2,811,5.4,0.62
01-10-2003,26.5,19.2,77.7,87.3,20.8,45.6,77.7,4.9,13.6,569,9.6,0.55
02-10-2003,36.4,29.7,85.3,197.7,42.5,72.9,28.6,5.2,5.1,644,47,0.5
03-10-2003,29.3,19.2,59.4,299.6,40.5,92.5,13.1,2.4,10.9,532,37.9,1.83
04-10-2003,34.3,15.3,81.4,238.9,53.8,77.2,77.6,5.2,9.1,992,14.9,1.89
05-10-2003,41.9,23,59.2,236.6,97.7,151.5,49.5,2.9,11.8,458,17.4,1.15
06-10-2003,39.8,29.4,56.1,155.1,76.9,134.4,13.9,3.9,16.2,102,26.1,1.8
07-10-2003,37.6,25,72.3,217.4,89.9,113.3,73.2,4.2,16.1,784,35.8,0.74
08-10-2003,35,24.5,68,63.7,41.7,35.8,10.6,3.6,20.6,752,10.9,2.37
09-10-2003,33.1,21.1,62.7,183.2,80.9,70,24.4,4.3,27.5,412,18.3,2.77
10-10-2003,34.6,19.9,87.9,143.6,137.9,161.8,13.9,2.1,17.6,461,27.7,0.63
11-10-2003,41.5,28,77.7,212.7,87.2,124.5,39.7,5.3,26.2,366,16.4,1.07
12-10-2003,37.8,22.3,80,175,119.6,141.1,31.9,5.9,16.3,566,19.3,2.5
13-10-2003,31.4,18.1,45.2,148.1,104.3,155,21.2,2.7,14.3,251,33.9,1.38
14-10-2003,29.1,17.9,57,240.7,44.9,180.9,77.1,3,18.9,330,19.8,2.41
15-10-2003,44.5,27.5,41.6,171.8,140.7,133.9,15.8,5.8,16.9,929,45.1,2.64
16-10-2003,42.6,28.9,48.1,182.5,18.8,174.3,61.6,4.1,18.3,452,23.1,1.83
17-10-2003,33.9,28.2,70.3,145.2,85.6,196,67.7,5.4,11.7,556,35.1,1.71
18-10-2003,34.6,27,67,242.7,15.9,137,15.3,2.5,22.6,891,19.8,1.73
19-10-2003,44.9,28.5,77.4,113,124.6,69.5,68.3,3.9,9.7,531,22.5,2.67
20-10-2003,28.2,28.1,47.3,2.3,116.1,137.9,47.6,4.8,22,529,39.6,2.54
21-10-2003,36,15.6,68.8,272.3,95.6,171.9,35.9,2.5,27.6,899,38.2,0.53
22-10-2003,40.5,29.2,44.9,199.5,43.4,181.2,40.9,5.4,16.5,850,13.4,1.12
23-10-2003,30.9,20.6,71.3,85.5,44.3,87.8,18.4,5.8,17.6,632,11.7,2.95
24-10-2003,36.7,15.3,59.1,73.4,61,142.6,39.4,5.8,26.7,238,29.4,1.21
25-10-2003,43.6,28.6,50.8,210,131.8,161.6,67.6,5.7,23.5,260,7.4,2.68
26-10-2003,35.3,25.5,77.8,27.4,24.1,188.2,25.6,3.3,12.4,197,14.8,2.17
27-10-2003,27.7,20.5,50.3,92,43.9,64,33.1,5.8,7.9,493,34.2,2.23
28-10-2003,29.6,26.5,70.2,296.6,65.3,65.2,11.8,2.4,13.5,493,38,0.65
29-10-2003,39.6,18.6,57.5,247.6,83.9,79.1,11.4,2.6,19.1,176,17.8,1.99
30-10-2003,34.1,24.2,41.5,222.4,20.6,73.7,21.9,3.3,22.6,836,14.4,0.55
31-10-2003,37.5,18.7,71,37.4,63.9,82.6,34.4,2.1,22.4,544,47.7,0.76
01-11-2003,32.2,19.4,86.9,143.8,101.2,40.5,71.2,2.1,13.7,497,8.1,0.91
02-11-2003,26.1,15.4,48.7,273.9,126.1,118.2,78.4,4.1,28.5,196,43.2,2.76
03-11-2003,43,16.6,53.9,249.3,54.9,65.6,49.4,5.1,27.1,218,22.9,1.18
04-11-2003,35.6,25.1,67.3,283.8,47.5,58.9,25.5,5.2,22.6,158,34.6,0.72
05-11-2003,34.9,26.8,74,56.7,79.2,173.3,38,4.6,18.7,772,17.8,0.61
06-11-2003,26,26.5,83.1,106.2,39.1,56.3,27.1,3.5,19.1,620,19,2.91
07-11-2003,29.1,18.3,54.2,254.2,91.2,118,43.7,3.7,15.1,575,45.5,1.47
08-11-2003,41.8,29.9,65.2,110,36.9,141.2,42,5.4,19,821,14.6,2.58
09-11-2003,38.9,24.3,48.8,43.6,133.1,55.5,44.2,4.9,21.7,635,39.5,1.3
10-11-2003,45,23.4,88.7,130.8,97.5,115.7,13.6,3.8,21.2,684,36.8,0.57
11-11-2003,33.7,17.1,61.1,99.7,132.6,39.3,11.5,4.2,13.1,183,26.9,1.11
12-11-2003,33.5,20.7,42,203.7,108.6,182,15.7,4.4,19.3,257,10.7,1.97
13-11-2003,43.2,20.7,68.9,113,27.6,42,15.8,2.4,29.5,618,41.3,2.5
14-11-2003,29.5,21.6,42.1,225.3,47.4,95.6,27.2,2.5,8.4,707,31.4,1.05
15-11-2003,44.2,16.3,54,276.8,93.8,143.3,15.6,3.1,9.6,371,19.6,2.49
16-11-2003,42.1,15.5,62.8,278.9,69.5,68.7,29.9,3.2,23.9,885,47.9,1.82
17-11-2003,25.1,25.6,68.7,210.3,58.4,67.8,54.2,3.8,15.7,168,8.2,0.61
18-11-2003,44.5,18.1,45.4,266.4,16.9,47.1,73.5,2.6,11,155,29.7,0.79
19-11-2003,42.4,19,40.7,7.2,108.4,72.4,77.2,5.8,7.6,244,39.6,0.61
20-11-2003,35.9,28,75.5,256.3,94.6,23,31.1,5.7,23,309,12.4,1.35
21-11-2003,42.3,26.8,71.5,273.5,113.1,111,33.9,2.6,19.2,672,6.4,2.51
22-11-2003,39.9,26.7,77.5,193.4,51,91.2,76.7,5.3,17.1,341,16.2,1.41
23-11-2003,44.5,23,68.8,171.1,75.1,67.2,26,5.4,5.1,616,25.6,0.93
24-11-2003,27.2,20.9,88.6,75.5,50.4,120.5,60,5.8,29.8,887,26.7,1.99
25-11-2003,30.3,24.2,87.6,122.6,100.8,111.9,20.5,3.8,22.4,897,24.7,0.71
26-11-2003,38.3,16.6,85.3,246.6,22.7,125.6,61.7,4.5,14.4,290,6.8,0.92
27-11-2003,30.7,25.5,67.5,134.4,25.3,133.3,20.5,5.4,28.6,217,47.1,2.8
28-11-2003,26.5,15.8,53.7,33.5,90.8,100.6,56.4,3.9,11.4,225,16.8,1.51
29-11-2003,39.4,23.2,55.1,9.4,29.5,110.7,18,5.1,8.5,298,25.5,0.71
30-11-2003,43.6,20.5,73.5,197.7,60.3,49.8,67.8,4.8,29.9,726,9.4,0.82
01-12-2003,35.5,17,60.3,220.1,53.7,131.3,52.6,3.2,26.4,932,10.3,2.44
02-12-2003,26.7,18,89.9,157.4,33.6,96.3,73.7,5.5,5.4,288,42.6,2.2
03-12-2003,33.3,29.8,85.5,255.5,117.6,121,31.3,3.8,21.2,844,44.7,0.64
04-12-2003,36.7,17.6,76.6,222.8,77.3,72.2,52.7,5.1,5.9,570,33.9,2.16
05-12-2003,44.2,25.1,59,264.8,76.2,61.9,34.2,2.6,18.9,222,26.2,2.17
06-12-2003,27.9,28.4,47.7,77.4,55.2,91.9,47.9,5.7,9.7,254,27.4,0.77
07-12-2003,30.4,19.4,72.3,160.7,74,75.3,37.4,2.5,10.3,191,19.4,2.84
08-12-2003,36.8,23.8,67,170,10.3,175.1,75.9,3,27.4,780,27.7,2.94
09-12-2003,27.2,18.5,43.6,167,133.1,155.6,31.3,5.2,21.4,644,35.7,0.6
10-12-2003,39.8,16.3,89.4,261.7,13.6,49.8,70.8,3.6,28.7,197,27.4,2.62
11-12-2003,29.7,15.2,69,199.8,139.7,29.5,73.5,3.2,26.5,982,26.1,1.49
12-12-2003,34.6,28.4,64.3,128,85.7,190,39.9,4.3,20.3,507,35,1.83
13-12-2003,37,16.4,89.9,56.1,76.9,23.1,40.8,2.7,26.6,978,40.2,2.82
14-12-2003,29.9,26.7,79.7,253.7,107.8,186.9,50.6,4.7,7.6,403,21.2,2.71
15-12-2003,26.7,20.9,85,44.1,42.7,80.4,32.8,5.6,24.5,475,20.9,0.75
16-12-2003,42,18.4,86.2,191.1,82.1,45.4,35.5,5.9,14.9,584,35,1.44
17-12-2003,26.8,25.8,46.6,236.6,79.5,66.3,50.5,3.8,18.3,965,23.1,2.52
18-12-2003,37,27.1,81.4,235.8,99.3,39.3,60.9,2.2,5.1,272,31.2,1.33
19-12-2003,42.2,29.1,47.1,200.5,37.9,42.1,22.3,3.8,15.8,817,18.2,1.82
20-12-2003,44.9,15.2,62.6,240.5,42.8,52.6,46.6,5.7,7.8,423,40.4,0.58
21-12-2003,41.4,22.2,51.1,222.4,44.8,34.5,66.4,2.7,9.2,303,12.3,2.51
22-12-2003,36.7,17.6,63.7,121.9,118.4,109.6,51.5,5.4,23,347,37.4,2.6
23-12-2003,43.4,27.1,77.7,275.6,57.8,87.2,36.4,2.4,8.6,291,41.7,1.11
24-12-2003,43.8,20,86.2,215.6,112.7,174.1,11.2,2.8,24.1,851,39.1,1.62
25-12-2003,30.8,19.1,63.5,245.5,120.4,59.5,34.1,5.3,11.6,733,21.1,2.42
26-12-2003,39.5,20.6,58.1,188.1,20.5,34.5,53.1,5.9,5.7,829,8.7,2.08
27-12-2003,43.4,20.3,46.2,275.4,128.1,180.4,49,4.3,17,555,22.7,1.72
28-12-2003,27.9,23.5,80.3,110.9,10.8,190.4,73.6,4.8,12.4,562,31.3,1.4
29-12-2003,38.3,24.5,60.2,243.4,75.3,48.2,22.2,2.3,25.1,196,47.1,1.45
30-12-2003,41.2,29.4,44.4,246.6,115.4,199.1,23.9,2.6,8.9,759,11,1.49
31-12-2003,44.9,24.3,47.6,240.7,136.2,137.9,10.1,5.5,26.4,175,35.3,0.83
01-01-2004,33.6,23.3,64.2,200.4,47.3,188.9,48,5.3,24.4,229,33,2.28
02-01-2004,33.5,17.6,70.7,95,48.1,191.2,52.7,2.5,27.4,522,16.2,1.13
03-01-2004,36.2,28.3,71.1,140,36.9,74.6,69.5,4.1,10.3,283,41,0.72
04-01-2004,26.2,19.7,48.1,78.8,126.1,73.2,54.2,5.2,12.5,262,40,1.96
05-01-2004,35.1,24.3,75.9,151.7,136.3,161.3,64.3,3.3,13.2,519,32.4,2.56
06-01-2004,35.3,21.9,66.2,100.7,50.3,118.9,25.4,3.7,16.9,289,45.7,1.31
07-01-2004,39.1,26.2,59.5,117.7,15.4,116.8,19.8,3.3,28.4,504,46.9,2.51
08-01-2004,43.6,15.6,81.2,204.1,42.4,176.1,21.6,4.7,7.3,129,21.3,2.31
09-01-2004,28.8,24,49.8,69.7,14.6,55,56.6,3,21.8,590,46.9,1.51
10-01-2004,36.6,17.2,54.5,255.5,117.1,21.9,75.6,5.2,5.9,670,20.6,2.5
11-01-2004,28.7,15.2,67.9,28.3,77.5,164.7,60,3.9,21.7,579,25.6,2.24
12-01-2004,28.2,21.8,75.5,88.5,102.6,30,17.2,4.3,16,429,46.4,1.29
13-01-2004,43.9,18,40.1,254.2,106.5,131.3,66.4,3.5,16.3,184,34.3,1.08
14-01-2004,29.6,22.7,68.1,213.1,122.1,51.5,75.7,5.7,24.1,659,39.1,2.7
15-01-2004,39.3,27.8,49.4,180.6,13.5,108.9,12.4,3.2,27.5,287,46.4,1.36
16-01-2004,31.9,15.4,40.7,283,149.7,20.7,71.2,5.5,20.7,400,26.4,2.92
17-01-2004,35,17.7,44.4,47.2,143.3,123.7,59.5,4.1,6.6,633,7.3,2.66
18-01-2004,30.6,22.5,67.5,290,43.1,44.6,21.9,4.8,25.2,723,5.7,2.61
19-01-2004,41.7,23.6,65.1,201.6,97.2,147.7,20,2.8,20.3,594,31.8,1.16
20-01-2004,25.8,28,85.4,32.6,111.5,109.3,65.7,3.6,10.7,203,27.6,2.83
21-01-2004,44.1,29.8,51.8,210.1,22.4,110,77.5,4,14.5,926,20.3,2.51
22-01-2004,34.9,27.5,65.2,236.6,102.7,92.9,69.7,5.4,19.2,797,14,1.27
23-01-2004,29.3,22.8,45,31,97.3,199.9,65.5,3.6,22.9,736,43.5,2.46
24-01-2004,33.7,24.7,57.6,235.9,34,61.3,67.8,5.8,15.8,985,17.8,1.39
25-01-2004,32,29.1,81,89.7,141.3,86,78.4,2.8,23,195,25.1,2.54
26-01-2004,33.3,17.7,54.5,121.7,101.7,191.8,64.5,5,24.1,817,17,1.68
27-01-2004,43.5,27,49.1,283.1,93.2,134,67.9,2.8,28.2,547,42.3,2.14
28-01-2004,25.4,22.5,58,43.5,45.9,118.9,70.3,5.1,23.6,205,45.5,2.25
29-01-2004,30.3,27.8,72,109.8,78.9,150.9,68.3,4.1,26.9,385,19.4,1.09
30-01-2004,35.1,20.7,57.7,177.6,56.8,168.1,67.5,2.5,25.7,102,10.5,2.62
31-01-2004,35.5,21.4,42.2,244.5,34.9,79.7,39.6,3.3,19.3,407,30,0.65
01-02-2004,39.2,28.2,45.3,293.7,100.6,106.9,15.9,4.4,17,148,16.4,1.24
02-02-2004,39.8,25.2,54.7,265.7,124.2,110.3,12.7,4.2,29.8,852,13.5,1.25
03-02-2004,36.8,20.8,85.6,60.8,28.2,101.9,50.1,3.8,29,805,35.8,1.46
04-02-2004,37.8,19.2,51.3,189.9,66,171.1,43.2,5.6,24.8,742,17.9,0.87
05-02-2004,29.1,15.5,78.7,83.4,53.4,24.1,67.3,3.2,14.4,106,47,1.9
06-02-2004,38.7,22.5,54.9,70.1,46.2,49.9,19.4,5.3,24,263,10.6,0.62
07-02-2004,36,22.8,78.8,185,66.1,54.7,37.2,5.5,12.3,608,19.8,1.52
08-02-2004,29.8,19.8,77,65,35.2,176,21.5,2.1,11.2,657,5.9,0.82
09-02-2004,26.6,18.6,43.4,90.3,108.6,38.5,56.6,2.3,5.3,680,18.9,1.69
10-02-2004,42.3,17.8,42.5,54,35.9,172.6,70.9,4.6,7.6,750,26.1,2.72
11-02-2004,38.5,23.9,45.7,107.3,31.8,171.4,36.6,3.5,18.3,285,33.4,0.83
12-02-2004,41.5,29.3,69.5,178.9,149.9,66.3,58.9,4.6,14.7,749,11,1.62
13-02-2004,37.8,22.4,86.3,231.4,123.6,191.4,53.4,5,10.9,663,42.8,1.26
14-02-2004,30.8,24.8,52.9,224,132.8,157.3,76.1,4.6,22,320,5.7,2.34
15-02-2004,30.3,16.3,48.9,121,90.1,40.7,33.6,2.7,29.2,814,15.7,2.1
16-02-2004,28.6,18.1,81.9,176.6,49.8,69,50.4,3.2,18.8,835,14.8,1.92
17-02-2004,28.4,29.8,48.6,250.7,94.4,140.2,28.7,2.5,13.4,658,18.9,2.82
18-02-2004,41,19.7,88.3,151.7,11.3,169.3,53.6,2.6,15.4,180,16.2,2.79
19-02-2004,44.2,26.7,75.4,286.5,123.1,116.2,66.8,5,17,787,25,1.41
20-02-2004,43.7,20.1,66.4,19.4,17.8,162.5,36.4,5.5,16.1,674,33.7,3
21-02-2004,41.6,27.8,55.1,62.1,47.8,171.3,53.5,3,18.5,198,42.6,2.6
22-02-2004,27,15.6,76,143.8,38.6,69.8,66.1,5.5,15,692,34.1,1.98
23-02-2004,35.4,26.2,54.7,37.7,87.9,178.4,12.8,3.5,21,897,11.7,1.15
24-02-2004,35,22.3,43.8,186,57.3,128.7,38.2,2.8,17.5,693,38.3,1.92
25-02-2004,42.2,20.7,42.1,178.2,72.3,196.9,18.4,3,16.6,656,20.6,0.67
26-02-2004,26.1,16.6,51.5,12.2,25.3,50.4,66.3,5.5,28.3,788,24.7,2.56
27-02-2004,40.5,21.7,83.9,280,54.5,62.9,73.3,3.1,29.2,499,17.5,1.78
28-02-2004,40.5,22,59.1,83.1,14.1,119.2,60.6,2.7,20.2,657,16.2,1
29-02-2004,31.7,19.8,61.3,152.1,72.5,88.9,22.2,5.1,11.4,442,37.9,2.21
01-03-2004,39.8,20.8,69.9,214.1,38.4,102.6,67.2,5.8,17,600,42.8,2.47
02-03-2004,43,28,76.9,240.5,110.8,125.3,39.4,5.1,10.5,113,46.9,1.32
03-03-2004,37.2,24.1,81.8,143.9,138.7,106.4,53.3,2.2,15.4,797,8,1.77
04-03-2004,41.6,26.7,57.7,94,44.7,100.1,19.5,4.8,15.7,488,37.3,2.9
05-03-2004,36.6,23.4,70.4,242.3,115.2,101.2,77,4.1,11.7,600,40.1,0.77
06-03-2004,34.2,19.9,62.2,236.6,14.7,167.9,49.6,4.9,24.1,547,6,1.09
07-03-2004,27.1,29,54.4,187.7,17.2,144.7,20.8,3.4,13.7,718,25.3,2.34
08-03-2004,33.6,22.7,52.6,166,52.2,188.4,42.9,5.6,8.3,919,39.2,0.95
09-03-2004,27.3,24.9,84.3,81.9,130.9,150.4,65.7,3.6,28,101,33.9,2
10-03-2004,41.2,26.2,64.7,23.6,144.6,82.7,40.8,4.1,25.2,574,47.8,0.52
